Mercury Thermometer Temp (deg C),Thermister Temp (deg C),R,I,V,Expected_R
21,20.6,11850.76619,0.0007022094085,8.321719514,11666.78088
25,26.3,9519.760625,0.0008396474383,7.993242622,10000
30,32.3,7626.663034,0.0009983364686,7.61397584,8294.606244
35,37.6,6314.952561,0.001148771338,7.254436502,6921.923035
40,42.4,5351.975427,0.001291660003,6.912932594,5809.874448
45,49,4297.426576,0.001495343521,6.426128986,4903.40116
50,53.8,3683.935871,0.001646378923,6.065154373,4160.138877
55,57.9,3241.212926,0.001775816353,5.755798917,3547.265944
60,63.2,2759.544381,0.001941919374,5.358812696,3039.185685
65,67.7,2416.680854,0.002080437688,5.027753927,2615.809586
70,73.7,2035.73314,0.002259512647,4.599764774,2261.276335
